"id","post_title","post_name","post_author","comment_status","ping_status","post_status","post_date","publish","category","post_mime_type","guid"
"370","2024 Fellowship Application Pack","2024 Fellowship Application Pack","1","open","closed","inherit","2024/10/11","yes","membership","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/2024 Fellowship Application Pack.pdf"
"372","2024 Fellowship Guidelines","2024 Fellowship Guidelines","1","open","closed","inherit","2024/10/11","yes","membership","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/2024 Fellowship Guidelines.pdf"
"289","AE Final Slides 30 March 2023","AE Final Slides 30 March 2023","1","open","closed","inherit","2023/04/19","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/AE Final Slides 30 March 2023.pdf"
"291","AE Synopsis 30 March 2023","AE Synopsis 30 March 2023","1","open","closed","inherit","2023/04/19","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/AE Synopsis.pdf"
"354","IIPM April 2024 - Slides - Q&A","IIPM April 2024 - Slides - Q&A","1","open","closed","inherit","2024/04/25","yes","past_seminars","application/ppt","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment April 2024 with Q&A_25.04.2024_0.pptx"
"356","IIPM May 2024 - Auto Enrolment - Slides","IIPM May 2024 - Auto Enrolment - Slides","1","open","closed","inherit","2024/05/24","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment May 2024 v2.pdf"
"358","IIPM May Webinar Q&A follow up","IIPM May Webinar Q&A follow up","1","open","closed","inherit","2024/06/20","yes","past_seminars","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment Q&A May 2024.pdf"
"254","Cert HDip Information for Employers","Cert HDip Information for Employers","1","open","closed","inherit","2022/07/06","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Cert HDip Information for Employers.pdf"
"307","Certificate in Law & Governance for Trustees (QPT) timetable - Autumn 2023 intake","Certificate in Law & Governance for Trustees (QPT) timetable - Autumn 2023 intake","1","open","closed","inherit","2023/07/05","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/CLGT PT Timetable for Autumn 2023 GC IIPM.pdf"
"330","Certificate Timetable Spring 2024","Certificate Timetable Spring 2024","1","open","closed","inherit","2024/02/01","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/CPII Springboard Feb 2024 Intake AY2324 S2.pdf"
"305","Higher Diploma & Cert timetable - Sept 2023 intake","Higher Diploma & Cert timetable - Sept 2023 intake","1","open","closed","inherit","2023/07/05","yes","general","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/HDPM-CPII  PT Timetable 1 for Sept 23 Intake AY2324 S1_0.pdf"
