"id","term_taxonomy_id","category","post_title","post_name","post_author","comment_status","ping_status","post_status","post_date","publish","post_mime_type","guid"
"769","9","general","Resetting your password on the IIPM portal","Resetting your password on the IIPM portal","1","open","closed","inherit","2019/12/16","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Portal Password Reset Procedure.pdf"
"770","9","general","IIPM Privacy Notice","IIPM Privacy Notice","1","open","closed","inherit","2018/05/25","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Privacy Notice.pdf"
"771","6","past_seminars","IIPM September webinar - Slides","IIPM September webinar - Slides","1","open","closed","inherit","2024/10/09","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September 2024 Webinar FINAL.pdf"
"772","6","past_seminars","IIPM September 2023 webinar","IIPM September 2023 webinar","1","open","closed","inherit","2023/09/14","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September FINAL SLIDES_1.pdf"
"773","9","general","IIPM & SoA Webinar October 2021 slides","IIPM & SoA Webinar October 2021 slides","1","open","closed","inherit","2021/11/04","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM SoA Slides Oct-21.pdf"
"774","6","past_seminars","IIPM November 2024 Webinar - Slides","IIPM November 2024 Webinar - Slides","1","open","closed","inherit","2024/11/12","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Webinar 7 Nov 2024.pdf"
"775","9","general","IIPM Constitution 2023","IIPM Constitution 2023","1","open","closed","inherit","2023/04/04","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM_Constitution_2023.pdf"
"776","9","general","IIPM and The Insurance Institute Webinar 28 October 2021 Slides","IIPM and The Insurance Institute Webinar 28 October 2021 Slides","1","open","closed","inherit","2021/11/25","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/ISY_IIPM_II_Slides_281021 FINAL.pdf"
"777","9","general","IIPM March 2023 - Delegate handouts 1","IIPM March 2023 - Delegate handouts 1","1","open","closed","inherit","2023/03/10","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/JPMAM Q1 23-guide-to-the-markets.pdf"
"778","9","general","IIPM March 2023 - Delegate handouts 2","IIPM March 2023 - Delegate handouts 2","1","open","closed","inherit","2023/03/10","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/JPMAM Q4 22-guide-to-alternatives.pdf"
"779","6","past_seminars","IIPM June Seminar - LCP Master Trusts Survey 2024 - Slides","IIPM June Seminar - LCP Master Trusts Survey 2024 - Slides","1","open","closed","inherit","2024/06/27","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/LCP Ireland Master Trust Survey 2024.pdf"
"780","9","general","Nomination for IIPM Council 2024","Nomination for IIPM Council 2024","1","open","closed","inherit","2024/03/26","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Nomination for Council 2024.pdf"
"781","9","general","AGM Notice 2024","AGM Notice 2024","1","open","closed","inherit","2024/03/27","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Notice of AGM to Members 2024-v2_0.pdf"
"782","6","past_seminars","IIPM March 2024 Webinar","IIPM March 2024 Webinar","1","open","closed","inherit","2024/03/28","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/NWD 2024 - Ireland - FINAL.pdf"
"783","9","general","Password and Portal Access","Password and Portal Access","1","open","closed","inherit","2019/12/18","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Password Reset Notes.pdf"
"784","9","general","Privacy Notice","Privacy Notice","1","open","closed","inherit","2019/10/16","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/PRIVACY NOTICE OCT 2019.pdf"
"785","9","general","Proxy Form AGM 2024","Proxy Form AGM 2024","1","open","closed","inherit","2024/03/27","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Proxy Form AGM 2024-v2.pdf"
"786","9","general","AE Rosheen Callendar summary 30 March 2023","AE Rosheen Callendar summary 30 March 2023","1","open","closed","inherit","2023/04/19","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Rosheen Callendar summary.pdf"
"787","6","past_seminars","IIPM & SAI October 2024 webinar - Slides","IIPM & SAI October 2024 webinar - Slides","1","open","closed","inherit","2024/10/25","yes","application/pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Slides 24 Oct 2024 FINAL.pdf"
